corruption,spearman_r,spearman_p,pearson_r,sink_class_b,sink_class_pi,sink_class_pbar,sink_match,b_hat,log_pi
gaussian_noise,0.9393939393939393,5.484052998513666e-05,0.9469804167747498,3,3,3,True,"[20.772184371948242, 21.89760971069336, 22.10293960571289, 23.40369415283203, 21.381349563598633, 22.71278190612793, 20.71994400024414, 21.879823684692383, 20.949548721313477, 20.41988754272461]","[-2.3472824096679688, -2.2756154537200928, -2.2887396812438965, -2.125361919403076, -2.3536911010742188, -2.238872528076172, -2.3720204830169678, -2.320626735687256, -2.350524663925171, -2.3812594413757324]"
shot_noise,0.9757575757575757,1.4675461874042197e-06,0.9483891725540161,3,3,3,True,"[20.696279525756836, 22.03455924987793, 22.059062957763672, 23.23724365234375, 21.359052658081055, 22.68421745300293, 20.609663009643555, 21.89923858642578, 21.077266693115234, 20.64942741394043]","[-2.3508479595184326, -2.2742350101470947, -2.290433168411255, -2.143237829208374, -2.3504815101623535, -2.233523368835449, -2.371887445449829, -2.3201487064361572, -2.347172260284424, -2.368053436279297]"
impulse_noise,0.9393939393939393,5.484052998513666e-05,0.940980851650238,5,5,5,True,"[19.743724822998047, 21.401395797729492, 21.637939453125, 22.31434440612793, 20.878042221069336, 22.55595588684082, 20.158784866333008, 21.918804168701172, 20.8653564453125, 20.25335121154785]","[-2.357172727584839, -2.2802953720092773, -2.293314218521118, -2.2204205989837646, -2.3469557762145996, -2.2099435329437256, -2.375549793243408, -2.2877326011657715, -2.315203905105591, -2.3539721965789795]"
defocus_blur,0.9636363636363635,7.320974809529922e-06,0.9709091186523438,7,5,7,False,"[21.449613571166992, 22.324039459228516, 22.697694778442383, 22.787904739379883, 22.232851028442383, 23.19004249572754, 20.516490936279297, 23.305492401123047, 21.961498260498047, 21.17801284790039]","[-2.3298110961914062, -2.292447328567505, -2.274991512298584, -2.2862727642059326, -2.321200132369995, -2.250439405441284, -2.3699471950531006, -2.2556214332580566, -2.3147547245025635, -2.336850643157959]"
glass_blur,0.9636363636363635,7.320974809529922e-06,0.9434306621551514,2,2,5,True,"[19.516273498535156, 20.820634841918945, 21.85785675048828, 20.921024322509766, 20.414592742919922, 21.820453643798828, 19.832197189331055, 21.66940689086914, 21.42219352722168, 20.43589973449707]","[-2.3745691776275635, -2.303678274154663, -2.2058279514312744, -2.3346471786499023, -2.359149932861328, -2.234142541885376, -2.381410598754883, -2.255017042160034, -2.239449977874756, -2.3574914932250977]"
motion_blur,0.9515151515151514,2.279854920641689e-05,0.9665107727050781,2,2,2,True,"[22.029125213623047, 22.67876434326172, 23.366533279418945, 22.712196350097656, 21.9692325592041, 23.062047958374023, 21.14153289794922, 22.99146842956543, 22.230792999267578, 21.517072677612305]","[-2.3069140911102295, -2.279884099960327, -2.237159013748169, -2.295358180999756, -2.3378255367279053, -2.2712106704711914, -2.36862850189209, -2.28233003616333, -2.308833122253418, -2.3445284366607666]"
zoom_blur,0.9515151515151514,2.279854920641689e-05,0.9646516442298889,7,2,7,False,"[21.45175552368164, 22.107757568359375, 22.880409240722656, 22.56902313232422, 22.285743713378906, 22.927324295043945, 20.3760986328125, 23.104598999023438, 21.776369094848633, 20.815536499023438]","[-2.32623028755188, -2.2975659370422363, -2.243661880493164, -2.2867271900177, -2.3065171241760254, -2.272007703781128, -2.376774311065674, -2.2610559463500977, -2.3184945583343506, -2.344015598297119]"
snow,0.9757575757575757,1.4675461874042197e-06,0.9697225689888,5,3,5,False,"[20.00105094909668, 21.48689842224121, 21.6859130859375, 21.867753982543945, 20.737600326538086, 21.8974609375, 19.27760124206543, 21.55354881286621, 21.00804901123047, 20.7454833984375]","[-2.3489878177642822, -2.2772810459136963, -2.2690844535827637, -2.2464261054992676, -2.334810256958008, -2.253694534301758, -2.386399507522583, -2.296436071395874, -2.2975778579711914, -2.3241167068481445]"
frost,0.9999999999999999,6.646897422032013e-64,0.9663267135620117,5,5,1,True,"[19.969051361083984, 21.58146858215332, 21.752094268798828, 21.82563591003418, 20.589765548706055, 21.926708221435547, 19.309185028076172, 21.384321212768555, 20.933488845825195, 20.90865707397461]","[-2.344712495803833, -2.2760820388793945, -2.2686150074005127, -2.2575554847717285, -2.3293373584747314, -2.25644588470459, -2.3670852184295654, -2.308208465576172, -2.308427095413208, -2.3158154487609863]"
fog,0.8666666666666665,0.0011735381801554687,0.9447236657142639,5,5,1,True,"[20.93956756591797, 21.954442977905273, 22.07942771911621, 21.8438720703125, 21.1751708984375, 22.315759658813477, 19.839111328125, 22.106918334960938, 21.458227157592773, 21.04875946044922]","[-2.3223867416381836, -2.280517816543579, -2.2774264812469482, -2.2967369556427, -2.327937126159668, -2.2491824626922607, -2.367218255996704, -2.2885396480560303, -2.288374185562134, -2.3327741622924805]"
brightness,0.9757575757575757,1.4675461874042197e-06,0.9731173515319824,2,2,2,True,"[19.672542572021484, 21.128198623657227, 21.785552978515625, 21.354806900024414, 20.41750144958496, 21.62459945678711, 19.268335342407227, 21.276798248291016, 20.50629425048828, 20.123275756835938]","[-2.3376846313476562, -2.2866737842559814, -2.2498223781585693, -2.2691659927368164, -2.3277201652526855, -2.2629404067993164, -2.3603105545043945, -2.294834852218628, -2.3163373470306396, -2.3262243270874023]"
contrast,0.9151515151515152,0.0002044724061488323,0.9608425498008728,7,7,7,True,"[22.11250877380371, 21.99394416809082, 22.978073120117188, 22.341005325317383, 22.044382095336914, 22.79067611694336, 20.35000991821289, 23.18655776977539, 22.891698837280273, 21.737123489379883]","[-2.303011178970337, -2.3180174827575684, -2.2528014183044434, -2.3195230960845947, -2.33837890625, -2.279576301574707, -2.398207902908325, -2.236793041229248, -2.2593703269958496, -2.3305697441101074]"
elastic_transform,0.9393939393939393,5.484052998513666e-05,0.9291878938674927,5,5,5,True,"[19.901123046875, 21.148990631103516, 21.9810791015625, 21.664030075073242, 20.91419219970703, 22.557573318481445, 20.12169075012207, 22.192935943603516, 21.215435028076172, 20.527568817138672]","[-2.3579235076904297, -2.3020172119140625, -2.260615110397339, -2.3047738075256348, -2.338857650756836, -2.2098207473754883, -2.373460292816162, -2.2659828662872314, -2.2703747749328613, -2.3544929027557373]"
pixelate,0.9393939393939393,5.484052998513666e-05,0.9518867135047913,7,7,7,True,"[21.5142822265625, 22.25776481628418, 23.915084838867188, 22.855525970458984, 22.445098876953125, 23.82129669189453, 21.394800186157227, 24.13640022277832, 23.026193618774414, 22.272106170654297]","[-2.3662052154541016, -2.339662551879883, -2.2167413234710693, -2.3384406566619873, -2.352037191390991, -2.2416024208068848, -2.3806800842285156, -2.1935009956359863, -2.2905642986297607, -2.3260951042175293]"
jpeg_compression,0.8909090909090909,0.0005421442248338665,0.9678758382797241,5,3,1,False,"[19.304399490356445, 20.540340423583984, 20.32556915283203, 20.728267669677734, 19.655452728271484, 20.754064559936523, 18.675357818603516, 20.605316162109375, 19.769500732421875, 19.38180923461914]","[-2.33868408203125, -2.249648332595825, -2.2916224002838135, -2.2423439025878906, -2.3451061248779297, -2.25335693359375, -2.3815040588378906, -2.2766430377960205, -2.3152222633361816, -2.342046022415161]"
